manuskrypt ;; rękopiśmienny tekst lub dokument, niepublikowany drukiem.
męstwo ;; cecha charakteryzująca się odwagą, wytrwałością i determinacją w działaniu w obliczu trudności lub niebezpieczeństwa.
dotyk ;; zmysłowa percepcja, polegająca na odczuwaniu kontaktu między powierzchnią ciała a obiektem.
skala ;; zbiór wszystkich możliwych wartości lub punktów, na których dokonywane są pomiary lub oceny.
deszcz ;; forma opadów atmosferycznych polegająca na spadaniu kropel wody z chmur na ziemię.
owoc ;; rozwijający się część rośliny, zawierający nasiona lub zarodka, mający zazwyczaj soczystą i jadalną strukturę.
dyrygent ;; osoba odpowiedzialna za kierowanie orkiestrą lub zespołem muzycznym podczas występu, ustalając tempo, dynamikę i interpretację utworu.
spód ;; dolna część przedmiotu, powierzchnia znajdująca się poniżej górnej części lub odwrotna strona.
krąg ;; figura geometryczna, zbiór punktów w płaszczyźnie, które są odległe od jednego ustalonego punktu nazywanego środkiem o tej samej odległości, zwanej promieniem.
buk ;; gatunek drzewa należący do rodziny bukowatych, charakteryzujący się gładką, szarą korą oraz charakterystycznymi trójkątnymi liśćmi.
wizytator ;; osoba odpowiedzialna za inspekcję, ocenę lub kontrolę określonych miejsc, instytucji lub procesów.\n"
zwierzątko ;; małe zwierzę domowe lub dzikie, często uważane za urocze i przyjazne.
działaczka ;; kobieta aktywnie zaangażowana w działalność społeczno-polityczną lub organizacyjną, dążąca do osiągnięcia określonych celów lub zmian społecznych.
amfetamina ;; substancja chemiczna o działaniu pobudzającym na układ nerwowy, stosowana głównie w leczeniu nadmiernej senności oraz w niektórych przypadkach adhd. może także być używana rekreacyjnie jako narkotyk.
wspinaczka ;; aktywność polegająca na zdobywaniu wysokich miejsc lub obiektów przy użyciu specjalnego sprzętu i technik. może być wykonywana zarówno w warunkach naturalnych, jak i w sztucznie stworzonych ścianach wspinaczkowych.
pododdział ;; jednostka wojskowa, która stanowi część większego oddziału lub formacji wojskowej, zazwyczaj skupiająca się wokół konkretnego rodzaju broni lub specjalizacji.
empire ;; wielkie, potężne państwo obejmujące wiele terytoriów i podlegające jednej władzy centralnej.
rola ;; funkcja lub pozycja, jaką dana osoba lub przedmiot pełni w określonej sytuacji czy kontekście.
zjeżdżalnia ;; urządzenie rekreacyjne lub transportowe w kształcie nachylonej, zwykle metalowej konstrukcji, służące do zjeżdżania na desce, hulajnodze lub innym sprzęcie.
mus ;; gęsta pasta sporządzana z owoców lub warzyw, często używana do przyprawiania potraw.
zamiłowanie ;; głębokie lub silne uczucie, które sprawia, że ktoś lub coś jest dla nas ważne i cenne.
poselstwo ;; misja dyplomatyczna polegająca na reprezentowaniu państwa w innych krajach oraz nawiązywaniu i podtrzymywaniu kontaktów dyplomatycznych w celu wspierania interesów danego kraju.
proponowanie ;; czynność polegająca na przedstawianiu sugestii, propozycji lub pomysłów w celu zaakceptowania lub odrzucenia.
doza ;; określona ilość substancji leczniczej, środka odurzającego lub innego preparatu, która jest określona jako jednorazowa dawka dla pacjenta.
reprywatyzacja ;; proces ponownego przekształcania własności państwowej na własność prywatną, często dotyczący nieruchomości.
aminokwas ;; są organicznymi związkami chemicznymi, które stanowią podstawowe składniki białek i pełnią kluczową rolę w budowie tkanek i regulacji procesów metabolicznych w organizmach.
tragedia ;; gatunek literacki, teatralny lub filmowy, charakteryzujący się poważnym i dramatycznym rozwojem wydarzeń prowadzących do nieszczęśliwego zakończenia, często ze śmiercią głównego bohatera lub bohaterów.
zdjęcie ;; obraz, który został utrwalony za pomocą aparatu fotograficznego lub innego urządzenia rejestrującego obraz.
pochwała ;; wyraz uznania, pozytywna ocena lub przyznana chwała.
niepełnosprawność ;; stan, w którym osoba ma trudności w wykonywaniu codziennych czynności z powodu fizycznych, psychicznych lub sensorycznych ograniczeń.
ogrodnictwo ;; dziedzina zajmująca się uprawą roślin ogrodowych, warzyw, owoców oraz pielęgnacją ogrodów i terenów zieleni.
relaks ;; stan odprężenia i wyciszenia umysłu oraz ciała, mający na celu odpoczynek i regenerację sił po okresie stresu lub intensywnej aktywności.
paliwo ;; substancja energetyczna, wykorzystywana do zasilania maszyn, silników lub urządzeń, poprzez proces spalania.
pianista ;; osoba grająca na fortepianie lub innym instrumentach klawiszowych.
oderwanie ;; działanie polegające na oddzieleniu czegoś od czegoś innego lub oderwaniu się od jakiejś sytuacji, otoczenia czy rzeczywistości.
kondukt ;; uroczysty przemarsz, procesja, najczęściej podczas ceremonii pogrzebowej.
manufaktura ;; zakład rzemieślniczy lub fabryka, w której produkowane są przedmioty ręcznie, z wykorzystaniem tradycyjnych technik oraz narzędzi pracy.
walkower ;; sytuacja, w której jedna ze stron w zawodach sportowych rezygnuje z udziału, co skutkuje automatycznym zwycięstwem drugiej strony.
pal ;; cienki, prosty, palny przedmiot służący do np. rozpalenia ogniska.
obniżka ;; zmniejszenie ceny lub wartości, często stosowane w celu przyciągnięcia klientów lub zwiększenia sprzedaży.
debel ;; ktoś, kto ma nadmierną masę ciała, zazwyczaj wynikającą z otyłości.
smalec ;; tłuszcz zwierzęcy otrzymywany przez topienie tłuszczu wieprzowego.
żarówka ;; urządzenie elektryczne, które emituje światło poprzez przepływ prądu przez włókno lub gaz umieszczone w szklanej bańce.
steel ;; stal - stop metali żelaza z dodatkiem węgla, charakteryzujący się twardością, wytrzymałością oraz elastycznością.
sentyment ;; emocjonalne przywiązanie lub uczucie, zazwyczaj pozytywne, do jakiejś osoby, miejsca lub sytuacji.
czytanie ;; proces interpretacji i zrozumienia tekstu zapisanego na nośniku, polegający na odczytywaniu i przetwarzaniu informacji zawartych w słowach lub symbolach.
zegar ;; urządzenie mierzące czas, wyposażone w wskazówki lub cyfrowy wyświetlacz, służące do informowania o bieżącej godzinie.
kreator ;; osoba odpowiedzialna za stworzenie czegoś, jak np. programu komputerowego, gry, czy też innego rodzaju dzieła.
dokumentacja ;; zbiór pisemnych lub elektronicznych informacji, zawierających opisy procesów, procedur, produktów lub usług, służący do ich dokumentowania, archiwizacji oraz udostępniania dla celów informacyjnych lub szkoleniowych.
kwadrat ;; czworobok o wszystkich bokach tej samej długości i wszystkich kątach prostych.
pet ;; an animal kept for companionship or amusement.
społeczność ;; grupa osób, które łączy wspólna przynależność, wartości, cele lub interesy, tworząc jednostkę społeczną opartą na relacjach społecznych.
grzywna ;; kara pieniężna nakładana przez sąd lub organ władzy na osobę, która popełniła wykroczenie lub przestępstwo.
ścianka ;; stała lub ruchoma przegroda wewnątrz budynku, przeznaczona do oddzielania pomieszczeń lub tworzenia przestrzeni wewnętrznych.
konstytucja ;; zbiór fundamentalnych reguł i zasad określających strukturę oraz funkcjonowanie państwa, oraz prawa i obowiązki obywateli.
weranda ;; przestrzeń zadaszona przed wejściem do budynku, służąca jako miejsce wypoczynku na zewnątrz, zazwyczaj otwarta z jednej lub większej ilości stron.
organizator ;; osoba lub instytucja odpowiedzialna za planowanie, koordynację i zarządzanie wydarzeniami, spotkaniami lub programami w celu ich skutecznej realizacji. ."
nauczenie ;; proces przyswajania wiedzy, umiejętności i zachowań poprzez doświadczenie, szkolenie lub instrukcje.
monstrancja ;; liturgiczny naczynie sakralne, przeznaczone do przechowywania i eksponowania najświętszego sakramentu - konsekrowanej hostii. zazwyczaj wykonana jest z metalu, zdobiona drogocennymi kamieniami i ma formę ostentacyjnej wieży lub tacy na piętce.
ewangelizacja ;; proces szerzenia chrześcijańskiej wiary poprzez głoszenie dobrego słowa i zachęcanie innych do przyjęcia jezusa chrystusa jako zbawiciela.
smuga ;; wąski pas widoczny na powierzchni wody, nieba lub innego materiału, charakteryzujący się odmiennym odcieniem, kolorystyką lub składem chemicznym od otoczenia.
mercedes ;; niemiecka marka samochodów luksusowych, należąca do koncernu daimler ag.
pilność ;; cecha charakteryzująca się sumiennością, starannością oraz zaangażowaniem w wykonywanie powierzonych zadań.
powieszenie ;; forma egzekucji polegająca na zakończeniu czyjegoś życia poprzez zawieszenie na szubienicy lub innym rodzaju wieszaku.
jegomość ;; zwrot grzecznościowy używany w stosunku do mężczyzny o wyższej randze społecznej, np. szlachcica, dostojnika lub dostojnościowego duchownego.
kompendium ;; zbiór podstawowych informacji lub wiedzy na określony temat, skondensowany w jednym miejscu.
motocyklista ;; osoba, która prowadzi motocykl lub pasażer, podróżujący na motocyklu.
bryła ;; trójwymiarowy kształt ograniczony przez powierzchnię złożoną z płaskich ścian.
nastolatek ;; młoda osoba w wieku od 13 do 19 lat.
banda ;; grupa osób działająca razem, często w sposób nielegalny lub agresywny.
piłkarka ;; zawodniczka grająca w piłkę nożną, uczestnicząca w oficjalnych meczach i turniejach piłkarskich.
meeting ;; spotkanie, podczas którego osoby gromadzą się w celu omówienia, dyskusji lub podejmowania decyzji na określony temat.
jabłoń ;; drzewo owocowe z rodziny różowatych, które charakteryzuje się jagodami w kształcie kulistym lub stożkowatym, zwanych jabłkami.
bagnet ;; biała metalowa stal nierdzewna o twardości zbliżonej do hartowanej stali, montowana na końcu lufy broni palnej lub/z i służąca do walki wręcz.
eskorta ;; grupa osób lub pojazdów, która towarzyszy i chroni inną osobę, konwój lub wartościowy transport, zapewniając im bezpieczeństwo i ochronę.
ornament ;; dekoracyjny element stosowany w celu ozdabiania powierzchni, takich jak meble, ubrania, czy architektura.
przeprowadzka ;; proces przenoszenia swojego miejsca zamieszkania z jednego miejsca do drugiego.
kapusta ;; warzywo z rodziny krzyżowych o kulistym kształcie i zgiętych liściach.
biedak ;; potoczne określenie oznaczające osobę ubogą, pozbawioną środków finansowych lub materialnych.
wypracowanie ;; tekst pisany, zwykle w formie eseju lub artykułu, w którym autor przedstawia swoje poglądy, argumenty i wnioski na dany temat, często opierając się na analizie faktów czy literatury przedmiotu.
link ;; hiperłącze łączące różne elementy w internecie, umożliwiające przechodzenie z jednej strony internetowej lub zasobu do drugiej za pomocą kliknięcia.
herb ;; roślina lub jej część, która jest używana głównie do celów kulinarnych, leczniczych lub kosmetycznych.
patologia ;; dziedzina medycyny zajmująca się badaniem zmian patologicznych w organizmie, ich przyczynami, przebiegiem i skutkami dla zdrowia pacjenta.
niedogodność ;; sytuacja powodująca trudności, uciążliwości lub ograniczenia w wykonywaniu określonych czynności lub działań.
gospodarz ;; osoba lub firma, która przyjmuje gości i dba o ich wygodę oraz zapewnia im odpowiednie warunki pobytu.
wielomian ;; wyrażenie algebraiczne, składające się z sumy wielu wyrazów, z których każdy jest iloczynem liczby zwanej współczynnikiem oraz zmiennej podniesionej donieujemnej liczby całkowitej, nazywanej wykładnikiem.
junior ;; określenie używane w odniesieniu do osoby młodszej, zazwyczaj o niższym statusie lub stopniu doświadczenia w danej dziedzinie w porównaniu do osób starszych lub bardziej doświadczonych.
zakręt ;; zmiana kierunku jazdy w drodze lub torze, wykonywana poprzez skręcenie w lewo lub w prawo.
lądolód ;; lądowy lodowiec, który występuje na obszarach polarnych i wysokich górach.
asystentka ;; osoba wspierająca i pomagająca w wykonywaniu różnego rodzaju obowiązków, zarówno w życiu osobistym, jak i zawodowym.
tato ;; potoczne określenie ojca, czyli mężczyzny będącego rodzicem biologicznym dziecka.
przechowalnia ;; miejsce, w którym przechowuje się rzeczy lub przedmioty na określony czas.
wielkość ;; cecha określająca rozmiar, rozległość lub znaczenie czegoś.
ataman ;; staropolska nazwa dla wodza kozackiego lub dowódcy oddziału kozackiego.
praca ;; działalność wykonywana w zamian za wynagrodzenie, mająca na celu osiągnięcie określonych celów lub rezultatów.
zwolennik ;; osoba wspierająca określoną ideę, osobę lub grupę, popierająca ich stanowisko lub działania.
festyn ;; organizowane wydarzenie plenerowe, zazwyczaj mające charakter festiwalu lub zlotu, skupiające się na różnorodnych atrakcjach, zabawach i konkursach dla uczestników.
krewny ;; osoba spokrewniona z tobą przez więzy krwi lub małżeństwa.
trudność ;; sytuacja lub zadanie wymagające zaangażowania wysiłku, umiejętności lub wytrwałości w celu ich pokonania lub wykonania.
polisa ;; pisemnym umową ubezpieczeniową, określającą warunki oraz zakres ochrony ubezpieczeniowej świadczonej przez ubezpieczyciela na rzecz ubezpieczonego.
czapeczka ;; niewielki nakrycie głowy, zwykle zakładane dla ochrony przed zimnem lub jako element ozdoby.
czarownica ;; kobieta posiadająca magiczne zdolności, często kojarzona z praktykowaniem czarów i zaklęć.
zapis ;; proces utrwalania informacji za pomocą symboli lub znaków w celu ich przechowywania i przekazywania.
feminizm ;; ruch społeczny dążący do osiągnięcia równości płci oraz walki z dyskryminacją ze względu na płeć.
zwieńczenie ;; element architektoniczny znajdujący się na szczycie budowli, mający na celu ozdobne zakończenie konstrukcji.
pasja ;; intensywne, emocjonalne zaangażowanie i entuzjazm wobec określonej działalności, hobby czy zainteresowania.
klucz ;; przedmiot służący do otwierania zamków lub dostępu do chronionego miejsca, informacja niezbędna do zidentyfikowania lub zabezpieczenia czegoś.
radiator ;; is a device used to transfer heat from a hot surface to the surrounding environment, commonly used for heating purposes in buildings or to cool engines in vehicles.
chemikalia ;; substancje chemiczne, które można stosować w różnych procesach chemicznych, przemyśle, rolnictwie, medycynie itp.
źródło ;; miejsce, skąd pochodzi coś konkretnego lub źródło informacji.
jaskinia ;; naturalna formacja geologiczna w postaci krypty zlokalizowanej pod powierzchnią ziemi, często zawierająca cenne z punktu widzenia naukowego i historycznego informacje.
żona ;; kobieta, którą dana osoba wzięła za żonę w uroczystości ślubnej, tworząc z nią związek małżeński.
kopanie ;; czynność polegająca na usuwaniu ziemi lub innego materiału z wykorzystaniem narzędzi, takich jak łopaty, łopatki czy koparki.
smok ;; mityczne stworzenie, zwykle przedstawiane jako wielki gad z potężnymi skrzydłami i ognistym oddechem.
kumpel ;; potoczne określenie osoby będącej bliskim, często przyjacielskim towarzyszem, z którą ma się dobry kontakt i spędza się czas na rozmowach oraz wspólnych aktywnościach.
przebicie ;; działanie polegające na przebiciu lub przekłuciu czegoś, najczęściej w celu przepuszczenia przez to otwór cieczy, gazu lub światła.
nieudolność ;; brak zdolności lub umiejętności skutecznego działania lub osiągania zamierzonych celów.
informatyzacja ;; proces wprowadzania technologii informatycznych oraz cyfrowych rozwiązań w różnych obszarach życia społecznego i gospodarczego w celu usprawnienia komunikacji, organizacji pracy oraz dostępu do informacji.
pedagogika ;; dział naukowy zajmujący się teorią i praktyką wychowania oraz nauczania.
zamiennik ;; osoba lub przedmiot, który może zastąpić kogoś lub coś innego w danej roli lub funkcji.
translator ;; is a person or a tool that converts written or spoken text from one language into another language, while maintaining the original meaning and context.
reżim ;; określony sposób rządzenia lub system polityczny panujący w danym państwie, charakteryzujący się konkretnymi regułami i procedurami.
higienistka ;; osoba specjalizująca się w dbaniu o higienę jamy ustnej i pomagająca pacjentom utrzymać zdrowe zęby i dziąsła poprzez porady dotyczące higieny jamy ustnej oraz usuwanie kamienia nazębnego.
kontrwywiad ;; działalność mająca na celu zapobieganie i zwalczanie działań wywiadowczych innych państw lub organizacji przeciwko własnemu państwu lub organizacji.
sok ;; płynna substancja wytwarzana poprzez wyciśnięcie soku z owoców lub warzyw.
sound ;; refers to vibrations that travel through the air or another medium and can be heard by the human ear.
świadczeniobiorca ;; osoba, która otrzymuje świadczenia, usługi lub korzyści z określonej umowy lub systemu.
cześć ;; popularne polskie pozdrowienie używane do witania kogoś.
czynność ;; świadome, celowe działanie wykonywane przez jednostkę.
napęd ;; urządzenie mechaniczne lub elektryczne służące do generowania energii potrzebnej do poruszania innego elementu, np. maszyny, pojazdu.
przebaczenie ;; akt wybaczenia i odpuścienia komuś, kto nas skrzywdził, bez związania tego z zapomnieniem czy brakiem konsekwencji.
posąg ;; rzeźba przedstawiająca postać ludzką lub zwierzęcą, wykonana z materiału takiego jak kamień, metal, drewno czy ceramika.
puszcza ;; obszerny kompleks leśny, zwykle charakteryzujący się naturalnym środowiskiem i różnorodnością gatunkową roślin i zwierząt.
futbol ;; popularna dyscyplina sportowa, znana także jako piłka nożna, w której dwie drużyny rywalizują ze sobą, starając się zdobyć więcej goli od przeciwnika, kopiąc piłkę do bramki przeciwnika.
powiat ;; jednostka terytorialna niższego rzędu w polsce, będąca częścią województwa i posiadająca własne organy samorządu terytorialnego.
kuracja ;; zorganizowany proces leczenia, mający na celu przywrócenie zdrowia lub złagodzenie objawów choroby.
balustrada ;; element architektoniczny w postaci balustrady, czyli ograniczenia schodów, tarasów, balkonów lub tarasów, składający się z połączonych ze sobą bal.
kierowca ;; osoba, która posiada uprawnienia do prowadzenia pojazdu drogowego i odpowiedzialna jest za jego bezpieczną obsługę oraz przewożenie pasażerów lub towarów.
senator ;; osoba pełniąca funkcję w wyższej izbie parlamentu, która reprezentuje określony region lub okręg wyborczy i bierze udział w procesie legislacyjnym i decyzyjnym na poziomie krajowym.
pęcherzyk ;; mały, pusty woreczek lub torbiel, który może znajdować się na powierzchni skóry lub wewnętrznych tkankach organizmu.
atrakcyjność ;; skłonność lub zdolność do przyciągania uwagi, interesu lub podziwu ze względu na urodę, wygląd, cechy osobowości lub inne czynniki.
siano ;; sucha roślinna masa, zwykle pochodząca z siana, służąca jako pokarm dla zwierząt hodowlanych lub materiał do wyściółki i izolacji.
wzmianka ;; krótka informacja lub uwaga na temat kogoś lub czegoś, zazwyczaj w celu wspomnienia lub zwrócenia uwagi.
szeregowiec ;; osoba należąca do wojska lub policji, która ma niższe stopnie służbowe niż oficerowie.
krótkowzroczność ;; wada wzroku polegająca na tym, że osoba widzi dobrze tylko przedmioty znajdujące się blisko, natomiast obiekty odległe są widziane nieostro.
strzelanie ;; czynność polegająca na oddawaniu strzałów, zwykle z broni palnej lub łuku, w celu trafienia w cel.
okazja ;; sytuacja lub moment, który daje możliwość skorzystania z czegoś korzystnego lub pożądanego.
sarkofag ;; rodzaj kamiennego lub metalowego trumnu, zwykle zdobionego, używanego do przechowywania zwłok lub relikwii.
kompromitacja ;; sytuacja, w której czyjeś działania lub zachowanie prowadzą do utraty reputacji, zaufania lub powagi.
uprawa ;; proces hodowli roślin lub zwierząt w celu uzyskania pożywienia, surowców lub innych produktów. może obejmować prace związane z przygotowaniem gleby, siewem, pielęgnacją, zbiorami i przechowywaniem plonów.
podmiot ;; w językoznawstwie częścią zdania, która wykonuje akcję lub na którą skierowana jest akcja.
reżyseria ;; sztuka kierowania procesem tworzenia filmu, teatralnego spektaklu czy programu telewizyjnego, włączając w to nadzór nad aktorami, scenografią, zdjęciami i dźwiękiem.
gaj ;; niewielki las lub zagajnik, często składający się z drzew liściastych, rosnący na obszarze o niewielkim zadrzewieniu.
arcybiskup ;; wysoko postawiony duchowny w hierarchii kościelnej, któremu przewodzi archidiecezją lub metropolią.
prawo ;; zbiór norm, zasad i regulacji określających prawa i obowiązki jednostek oraz instytucji w społeczeństwie.
farba ;; substancją barwną lub powłoką używaną do malowania powierzchni w celu nadania im koloru lub ochrony przed czynnikami zewnętrznymi.
aplikacja ;; program komputerowy lub mobilny służący do wykonywania określonych zadań, takich jak edycja tekstu, przeglądanie internetu, czy odtwarzanie multimediów.
relacja ;; związek, powiązanie lub interakcja pomiędzy dwoma lub więcej obiektami, które określa ich wzajemną zależność lub sposób oddziaływania.
stomatologia ;; dziedzina medycyny zajmująca się diagnostyką, leczeniem i profilaktyką chorób jamy ustnej oraz struktur z nią związanych.
zbiór ;; abstrakcyjna struktura matematyczna, która składa się z elementów zbioru, mogących być obiektami, liczbami lub innymi zbiorami.
biuro ;; miejsce przeznaczone do wykonywania pracy biurowej, zazwyczaj wyposażone w biurka, komputery, drukarki i inne niezbędne urządzenia.
chleb ;; tradycyjny produkt spożywczy w postaci pieczywa, zwykle w formie kromki, wytwarzany z mąki, wody, soli i drożdży lub zakwasu.
zgłoszenie ;; oficjalne oświadczenie lub powiadomienie przekazane organowi lub instytucji w celu zgłoszenia pewnego zdarzenia, problemu lub wniosku.
robotyka ;; interdyscyplinarna dziedzina nauki zajmująca się projektowaniem, budową, programowaniem i wykorzystaniem robotów w różnorodnych zastosowaniach.
stabilność ;; zdolność do utrzymania równowagi, niezmiennego stanu lub trwałego funkcjonowania.
pycha ;; nadmierny i bezpodstawny feeling własnej wartości, wynikający z przekonania o własnej wyjątkowości lub lepszości względem innych.
padaczka ;; przewlekła choroba neurologiczna charakteryzująca się napadami padaczkowymi, które mogą przejawiać się różnymi objawami neurologicznymi.
modernizm ;; nurt artystyczny i intelektualny rozwijający się głównie w xix i xx wieku, charakteryzujący się dążeniem do innowacyjności, eksperymentowania, zerwania z tradycją oraz poszukiwaniem oryginalności i nowych form wyrazu w twórczości artystycznej.
formularz ;; specjalnie przygotowany dokument lub interaktywny układ graficzny służący do zbierania danych, informacji lub opinii od użytkowników w sposób uporządkowany i spójny.
basen ;; sztuczna odkryta lub kryta konstrukcja wypełniona wodą, służąca do pływania, rekreacji i relaksu.
składanka ;; rodzaj kompozycji muzycznej lub literackiej, składający się z różnych elementów lub utworów połączonych w jedną całość.
hangar ;; duży, zamykany obiekt przeznaczony do przechowywania i obsługi samolotów lub statków powietrznych.
kandydat ;; osoba ubiegająca się o daną pozycję, stanowisko lub tytuł, np. w wyborach, konkursie rekrutacyjnym czy konkursie.
zgnilizna ;; proces rozkładu organicznych substancji pod wpływem mikroorganizmów.
pył ;; bardzo małe cząstki stałe, które unoszą się w powietrzu.
pyta ;; forma czasownika oznaczającego zadawanie pytania.
scenografia ;; dział sztuki teatralnej i filmowej zajmujący się projektowaniem i aranżacją przestrzeni sceniczej, mającej wpływ na wygląd i atmosferę przedstawienia.
łowiectwo ;; dział nauki zajmujący się badaniem zwierząt dziko żyjących oraz praktyką polowań.
torf ;; organiczne, porowate tworzywo naturalne, powstające w wyniku akumulacji szczątków roślinnych w warunkach tafli wody.
właz ;; otwór w ścianie lub suficie umożliwiający dostęp do pomieszczenia lub przestrzeni, zazwyczaj zabezpieczony klapą lub pokrywą.
brzoskwinia ;; owoc należący do rodziny różowatych, o miękkim miąższu i gładkiej skórce, posiadający charakterystyczny słodko-kwaśny smak.
genetyka ;; dziedziną biologii zajmującą się dziedziczeniem cech organizmów, badaniem genów oraz ich funkcji i interakcji.
ciut ;; potoczne określenie oznaczające odrobinę lub nieco.
nadawca ;; osoba lub firma, która wysyła wiadomości, przesyłki lub informacje do odbiorcy za pośrednictwem różnych środków komunikacji.
nikiel ;; metal z grupy metali przejściowych, o symbolu chemicznym ni i liczbie atomowej 28. jest srebrzysto-biały, odporny na korozję i wykorzystywany przemysłowo głównie w produkcji stopów.
fundacja ;; forma organizacji non-profit, która powołana jest do realizacji określonych celów społecznych, charytatywnych lub kulturalnych. zazwyczaj działa na podstawie darowizn i grantów.
czaszka ;; część szkieletu głowy człowieka lub zwierzęcia, która obejmuje mózgoczaszkę i twarzoczaszkę.
suma ;; wynik dodawania dwóch lub więcej liczb.
kar ;; forma kary stosowana w systemie prawa karnego polegająca na finansowym wymiarze odpowiedzialności za popełnione przewinienie. .
nic ;; odnosi się do braku czegokolwiek lub oznacza ostateczną nicość.
podarunek ;; przedmiot, pieniądze lub inny wartościowy prezent wręczany komuś z okazji określonego wydarzenia lub z wdzięczności.
prowincjał ;; określenie odnoszące się do osoby lub zachowania charakteryzujących się ograniczonym horyzontem myślowym, brakiem doświadczenia lub znajomości nowoczesnych trendów.
pieprz ;; popularna przyprawa pochodząca z ziaren pieprzu, która dodaje potężnego aromatu i ostrości do potraw.
okrucieństwo ;; okrutność to cecha polegająca na zadawaniu cierpienia, bólu lub krzywdy innym istotom.
siatkarz ;; zawodnik biorący udział w grze sportowej zespołowej, w której celem jest przebijanie piłki nad siatką i umieszczenie jej na boisku przeciwnika.
odwłok ;; część ciała stawonogów, znajdująca się za odwłokiem
ślina ;; wydzielina gruczołów ślinowych znajdujących się w jamie ustnej, która pomaga w procesie trawienia, nawilża pokarm oraz ułatwia połykanie.
as ;; może być używane jako spójnik, operator porównania lub przyimek w języku angielskim.
amortyzacja ;; proces rozkładania kosztów środków trwałych na poszczególne okresy ich używania, mający na celu odzwierciedlenie stopniowej utraty wartości tych aktywów w czasie.
złodziej ;; osoba, która bezprawnie zabiera rzeczy należące do innych, często w celu osiągnięcia korzyści materialnej.
astronomia ;; nauka zajmująca się badaniem gwiazd, planet, galaktyk, układów planetarnych oraz zjawisk zachodzących we wszechświecie.
wiewiórka ;; mały gryzoń z puszystym ogonem, charakteryzujący się umiejętnością wspinania się po drzewach i zbierania orzechów.
ekspresja ;; wyrażanie uczuć, emocji lub myśli poprzez gesty, mimikę twarzy, postawę ciała, sztukę czy język.
leżenie ;; pozycja ciała polegająca na spoczynku na poziomej powierzchni, zazwyczaj z udami i plecami dotykającymi podłoża.
transept ;; skrzydło krzyża w planie kościoła, przecinające nawę główną, tworzące z nią układ krzyża łacińskiego.
akt ;; formalny dokument lub deklaracja wykonania określonej czynności lub działania.
jubiler ;; osoba zajmująca się produkcją, sprzedażą oraz naprawą biżuterii i zegarków.
krocie ;; oznacza dużą ilość czegoś, liczne pieniądze lub przedmioty.
telewizor ;; elektroniczne urządzenie umożliwiające odbiór i wyświetlanie programów telewizyjnych.
takson ;; jednostka klasyfikacyjna wykorzystywana w systemie biologicznej klasyfikacji organizmów, obejmująca grupę organizmów o podobnych cechach i pochodzeniu, które są grupowane razem na podstawie ich pokrewieństwa ewolucyjnego.
kaucja ;; wpłacana kwota pieniężna lub rzeczowa jako zabezpieczenie wykonania umowy, zwłaszcza umowy najmu lub umowy sprzedaży.
dzieje ;; zapis wydarzeń historycznych oraz opowieści dotyczące przeszłości ludzkości.
neurolog ;; lekarz specjalizujący się w diagnozowaniu, leczeniu i badaniu zaburzeń nerwowych oraz chorób układu nerwowego.
segregacja ;; proces dzielenia, sortowania lub rozdzielania elementów według określonych kryteriów, mający na celu uporządkowanie lub klasyfikację danego zbioru. jest to także działanie polegające na separacji lub izolacji określonych grup ludzi na podstawie różnic takich jak rasowe, etniczne, społeczne czy kulturowe.
archiwizacja ;; proces przechowywania, klasyfikowania i zarządzania dokumentami oraz innymi materiałami w celu ich długotrwałego przechowywania i łatwiejszego odnajdywania w przyszłości.
język ;; system komunikacji używany przez ludzi do przekazywania myśli, uczuć i informacji za pomocą słów, dźwięków, gestów lub symboli.
złoty ;; tradycyjna jednostka walutowa, symbolizowana przez skrót ""zł"" i używana głównie w polsce.
sanitariusz ;; osoba wyposażona w wiedzę i umiejętności niezbędne do udzielania pierwszej pomocy oraz opieki medycznej na miejscu wypadku lub katastrofy.
przegrana ;; sytuacja, w której dana osoba lub drużyna nie osiąga sukcesu w zawodach, grze czy sporze, przeciwnie niż zwycięstwo.
catering ;; usługi związane z przygotowaniem i dostarczaniem jedzenia na specjalne wydarzenia, przyjęcia lub spotkania.
adam ;; odnosi się do pierwszego mężczyzny w mitologii abrahamicznej, stworzonego przez boga z prochu ziemi.
lider ;; osoba, która ma zdolności i umiejętności potrzebne do skutecznego kierowania grupą ludzi w celu osiągnięcia wspólnego celu.
cyklon ;; wir powietrzny o niskim ciśnieniu, który wiruje w kierunku przeciwnym do ruchu wskazówek zegara na półkuli północnej lub zgodnie z ruchem wskazówek zegara na półkuli południowej.
spowiedź ;; religijny rytuał, podczas którego wierny wyznaje swoje grzechy kapłanowi, aby uzyskać przebaczenie i pokutę.
ściągalność ;; zdolność do łatwego i skutecznego pobrania, ściągnięcia lub odzyskania danych, plików lub zasobów z określonego źródła, na przykład z internetu.
atom ;; najmniejsza jednostka składająca się z jądra atomowego, w którym zawarte są protony i neutrony, otoczonego przez elektrony krążące po określonych orbitach.
kuchnia ;; pomieszczenie lub miejsce, w którym przygotowuje się posiłki. może również odnosić się do stylu kulinarnej sztuki i pasji związanej z gotowaniem.
zabezpieczenie ;; działanie mające na celu ochronę przed niebezpieczeństwem, zagrożeniem lub utratą, poprzez zastosowanie środków zabezpieczających.
